"Source","Destination","Category","SizeKB"
"train_qwen_distill_v13_segment.py","experiments/model_evolution/train_qwen_distill_v13_segment.py","model_evolution","40.8"
"train_qwen_distill_v14_action8.py","experiments/model_evolution/train_qwen_distill_v14_action8.py","model_evolution","40.9"
"train_qwen_distill_v26_longctx.py","experiments/model_evolution/train_qwen_distill_v26_longctx.py","model_evolution","42.5"
"train_qwen_distill_v28_hard_negative.py","experiments/model_evolution/train_qwen_distill_v28_hard_negative.py","model_evolution","39.3"
"train_qwen_segment_v24_15b.py","experiments/model_evolution/train_qwen_segment_v24_15b.py","model_evolution","34.3"
"model\classwise_tree_blend_screen\classwise_tree_blend_report.json","results/classwise_tree_blend_report.json","optional_result","5.4"
"model\last_action_prior_screen\last_action_prior_report.json","results/last_action_prior_report.json","optional_result","25"
"model\cur160_second_view_probe\second_view_report.json","results/second_view_report.json","optional_result","45.7"
"model\distill_cur160_eval\classification_report.txt","results/student_fold0_classification_report.txt","optional_result","1.1"
"qwen_tfidf_ensemble_eval.py","experiments/retrieval/qwen_tfidf_ensemble_eval.py","retrieval","13.1"
"train_hierarchical_tfidf_v1.py","experiments/retrieval/train_hierarchical_tfidf_v1.py","retrieval","29"
"train_qwen_retrieval_v7.py","experiments/retrieval/train_qwen_retrieval_v7.py","retrieval","51.5"
"train_template_sequence_retrieval_v11.py","experiments/retrieval/train_template_sequence_retrieval_v11.py","retrieval","39.7"
"tune_qwen_tfidf_selector_v1.py","experiments/retrieval/tune_qwen_tfidf_selector_v1.py","retrieval","11.8"
"analyze_sim_transition_rules.py","experiments/sequence/analyze_sim_transition_rules.py","sequence","31"
"build_transition_matrix.py","experiments/sequence/build_transition_matrix.py","sequence","3.3"
"diagnose_viterbi_submission.py","experiments/sequence/diagnose_viterbi_submission.py","sequence","8"
"screen_viterbi_transition.py","experiments/sequence/screen_viterbi_transition.py","sequence","11.2"
"build_submit_v37_qwen_tree_specialists.py","experiments/specialists/build_submit_v37_qwen_tree_specialists.py","specialist","15.5"
"probe_v32_file_pair_reranker.py","experiments/specialists/probe_v32_file_pair_reranker.py","specialist","13.9"
"probe_v33_read_list_directional.py","experiments/specialists/probe_v33_read_list_directional.py","specialist","10.8"
"probe_v35_ask_plan_specialist.py","experiments/specialists/probe_v35_ask_plan_specialist.py","specialist","13.7"
"probe_v36_combine_v33_v35.py","experiments/specialists/probe_v36_combine_v33_v35.py","specialist","13.3"
"screen_ask_plan_specialist.py","experiments/specialists/screen_ask_plan_specialist.py","specialist","13.4"
"screen_file_search_specialist.py","experiments/specialists/screen_file_search_specialist.py","specialist","13.3"
"train_exec_check_specialist_fixed.py","experiments/specialists/train_exec_check_specialist_fixed.py","specialist","15.9"
"train_v36_specialists_full.py","experiments/specialists/train_v36_specialists_full.py","specialist","7.5"
"shared\cur160\cur160_teacher_share\teacher_cur160\run_manifest.json","configs/teacher_oof_run_manifest.json","teacher_summary","5.6"
"shared\cur160\cur160_teacher_share\README.md","docs/teacher_oof/README.md","teacher_summary","2.5"
"shared\cur160\cur160_teacher_share\teacher_cur160\oof_classification_report.txt","results/teacher_oof_classification_report.txt","teacher_summary","1"
"shared\cur160\cur160_teacher_share\teacher_cur160\oof_summary.json","results/teacher_oof_summary.json","teacher_summary","0.3"
"make_v27_tree_teacher_oof.py","src/tree/make_v27_tree_teacher_oof.py","tree","10.6"
"make_v27_tree_teacher_probs.py","src/tree/make_v27_tree_teacher_probs.py","tree","4.8"
"probe_v23_tree_tfidf_structured.py","src/tree/probe_v23_tree_tfidf_structured.py","tree","33.4"
"probe_v23b_fixed_tree_blend_weight.py","src/tree/probe_v23b_fixed_tree_blend_weight.py","tree","9.3"
"probe_v27_tree_blend.py","src/tree/probe_v27_tree_blend.py","tree","5.7"
"train_qwen_distill_v27_tree_teacher.py","src/tree/train_qwen_distill_v27_tree_teacher.py","tree","45.3"
"train_qwen_distill_v27_tree_teacher_gated_v2.py","src/tree/train_qwen_distill_v27_tree_teacher_gated_v2.py","tree","50.8"
"train_v23_tree_full.py","src/tree/train_v23_tree_full.py","tree","17.3"
