source_relative_path,destination_relative_path,category,listed_in_inventory
analysis\top_confusions.csv,analysis/results/top_confusions.csv,analysis_result,True
analysis\sim_transition_rules\report.json,analysis/results/sim_transition_rules/report.json,analysis_result,True
analysis\sim_transition_rules\report.md,analysis/results/sim_transition_rules/report.md,analysis_result,True
analysis\sim_transition_rules\qwen_rule_search.csv,analysis/results/sim_transition_rules/qwen_rule_search.csv,analysis_result,True
state_conflict_results\class_collision_summary.csv,analysis/results/state_conflicts/class_collision_summary.csv,analysis_result,True
state_conflict_results\collision_summary.csv,analysis/results/state_conflicts/collision_summary.csv,analysis_result,True
state_conflict_results\label_distribution.csv,analysis/results/state_conflicts/label_distribution.csv,analysis_result,True
state_conflict_results\run_metadata.json,analysis/results/state_conflicts/run_metadata.json,analysis_result,True
shared\cur160\cur160_teacher_share\README.md,docs/teacher_oof/README.md,teacher_summary,True
shared\cur160\cur160_teacher_share\teacher_cur160\oof_classification_report.txt,results/teacher_oof_classification_report.txt,teacher_summary,True
shared\cur160\cur160_teacher_share\teacher_cur160\oof_summary.json,results/teacher_oof_summary.json,teacher_summary,True
shared\cur160\cur160_teacher_share\teacher_cur160\run_manifest.json,configs/teacher_oof_run_manifest.json,teacher_summary,True
friend_cur160_unpack\model\metadata.json,configs/source_final/metadata.json,final_config,True
friend_cur160_unpack\model\postprocess.json,configs/source_final/postprocess.json,final_config,True
friend_cur160_unpack\model\tree_blend_config.json,configs/source_final/tree_blend_config.json,final_config,True
model\last_action_prior_screen\last_action_prior_report.json,results/last_action_prior_report.json,optional_result,False
model\cur160_second_view_probe\second_view_report.json,results/second_view_report.json,optional_result,False
model\classwise_tree_blend_screen\classwise_tree_blend_report.json,results/classwise_tree_blend_report.json,optional_result,False
model\distill_cur160_eval\classification_report.txt,results/student_fold0_classification_report.txt,optional_result,False
